-3.00                         10425
-4.08                          3852
-5.14                          1651
-6.03                          830
-7.09                          344
-8.04                          166
-9.05                          90
-10.01                         33
-11.02                         23
-12.04                         22
-12.99                         15
-14.00                         12
-16.01                         11
-18.02                         10
-20.14                         5
-22.03                         6
-24.00                          5                     
-29.97                         4
-35.20                           1                     
-40.01                          2
-44.90                          0.5
-50.09                          1
-55.03                          0.5                     
-60.03                          0.0014
