SCINT1   PMT V = 908 mV  count  time = 15 s

  THR                          Sr             No source
-3.00                        15169               4549
-3.92                        9428                2526
-5.07                        6197                1158
-6.04                        4690                583 
-7.03                        3319                295
-8.04                        2721                167
-9.04                        1273                68
-10.06                       1186                 43
-11.03                       1394                 21
-11.96                       1181                 14
-13.01                       919                  16
-14.07                       759                  7
-16.08                       537                  9
-18.04                       430                  11
-20.23                       270                  6
-22.01                       190                  3
-23.97                       135                  4.5
-29.01                       71                   6
-35.01                       17                   2.75
-40.02                       15                   2
-45.01                       5                    0.3
-50.01                      1.5                   0.6
-55.0                         2                   0.3
-60.03                      1.5                   1.33
-65.04                        1                    0.333
-70.02                       0.001                  0.001            
-80.08                    0.01                   0.01    
-85.05                    0.001                   0.001  
-90.00                     0.001                 0.001   
