-3.00                        18464       
-4.08                        9731        
-5.14                        5906        
-6.03                        4245        
-7.09                        2907        
-8.04                        2241        
-9.05                        1638        
-10.01                       1342        
-11.02                       1084        
-12.04                       905         
-12.99                       751         
-14.00                       586         
-16.01                       387         
-18.02                       275         
-20.14                       180         
-22.03                       134         
-24.00                       64                        
-29.97                       17          
-35.20                      11                          
-40.01                      5            
-44.90                      1            
-50.09                      0.55         
-55.03                      0.25                         
-60.03                      0.001        
