-3.00                     6076
-4.02                     2693    
-5.11                     1604
-6.05                     749
-7.02                     402
-8.05                     131 
-9.02                     64
-10.03                    24
-11.11                    17
-12.06                    15
-13.09                    9                    
-14.07                    14
-16.04                    12
-18.07                    13
-19.98                    7
-22.02                    10
-25.05                    6
-29.91                    6.5
-35.20                    3
-40.01                    3
-44.90                    1
-49.90                    2
-55.50                    2   
-59.90                    0.5
-65.50                     0.01
-70.60                    0.01
-80.08                    0.01
-85.05                    0.001
-90.00                     0.001
