-3.00                        15169      
-3.92                        9428       
-5.07                        6197       
-6.04                        4690       
-7.03                        3319       
-8.04                        2721       
-9.04                        2173       
-10.06                       1686       
-11.03                       1394       
-11.96                       1181       
-13.01                       919        
-14.07                       759        
-16.08                       537        
-18.04                       430        
-20.23                       270        
-22.01                       190        
-23.97                       135        
-29.01                       71         
-35.01                       17         
-40.02                       15         
-45.01                       5          
-50.01                      1.5         
-55.0                         2         
-60.03                      1.5         
-65.04                        1         
-70.02                       0.001               
-80.08                    0.01          
-85.05                    0.001         
-90.00                     0.001        
